iter	Logloss
0	0.614480167
1	0.5516890307
2	0.5040502724
3	0.4587645134
4	0.4299175064
5	0.407457946
6	0.3853856802
7	0.3688688443
8	0.3567830659
9	0.3470719488
10	0.3369189779
11	0.3302539658
12	0.3235763143
13	0.3159861547
14	0.3122456339
15	0.3052945473
16	0.2998498254
17	0.2984284502
18	0.2955151246
19	0.2917866878
20	0.2897844006
21	0.2880227028
22	0.2853507745
23	0.2830986359
24	0.2800708382
25	0.277974719
26	0.2752193976
27	0.2734340516
28	0.2711997438
29	0.2694658079
30	0.2681424056
31	0.2666427115
32	0.2649246375
33	0.2637408972
34	0.2622542991
35	0.2608874272
36	0.2594994627
37	0.2578152641
38	0.2572175269
39	0.2560039989
40	0.2543973536
41	0.2532985949
42	0.2521689378
43	0.2507181734
44	0.2494111583
45	0.2481197203
46	0.2470363804
47	0.2456036179
48	0.24443496
49	0.2436817831
50	0.2428767728
51	0.2421831588
52	0.2413567797
53	0.2408166636
54	0.2395970007
