iter	Logloss
0	0.6167949949
1	0.5531469915
2	0.5104921849
3	0.4658984784
4	0.4361432817
5	0.4097428907
6	0.3851727139
7	0.3688689087
8	0.354658118
9	0.3417591193
10	0.3326255216
11	0.3234748662
12	0.3153937604
13	0.3108208475
14	0.3068937748
15	0.302523317
16	0.2981126318
17	0.2942473796
18	0.2907066054
19	0.2874503295
20	0.2840200776
21	0.2825949447
22	0.2789560214
23	0.2770785703
24	0.2755740676
25	0.2744446815
26	0.2724670852
27	0.2705001922
28	0.2688942584
29	0.2680221557
30	0.267204033
31	0.2660593863
32	0.2651646577
33	0.2634419836
34	0.2625154513
35	0.2607018138
36	0.2585678192
37	0.2560358409
38	0.2553156011
39	0.2548082827
40	0.2538785223
41	0.252514166
42	0.2517920351
43	0.2506070809
44	0.2492231645
45	0.2477750531
46	0.2464130539
47	0.2450631263
48	0.2443448576
49	0.2437507556
50	0.242677082
51	0.2413387895
52	0.2402361091
53	0.2384600496
54	0.2364699826
55	0.2354375104
