iter	Logloss
0	0.6096691222
1	0.5515997753
2	0.5013717864
3	0.4525195001
4	0.4205435444
5	0.3986249983
6	0.375423273
7	0.3559246979
8	0.3453026901
9	0.3335224383
10	0.3261663958
11	0.3190615323
12	0.3110244623
13	0.3041804603
14	0.2981118468
15	0.2926804507
16	0.2879315671
17	0.2839538517
18	0.2787025876
19	0.2757278716
20	0.2726181105
21	0.2695063801
22	0.2666513088
23	0.263212987
24	0.2592617144
25	0.2572179614
26	0.2547021358
27	0.2528171772
28	0.2507695619
29	0.2491956255
30	0.2473853321
31	0.245620291
32	0.2424759251
33	0.2400412391
34	0.2379389959
35	0.236334769
36	0.2346571724
37	0.231762381
38	0.2290133947
39	0.2274359329
40	0.226463435
41	0.2243985403
42	0.2233939478
43	0.2213647555
44	0.2202344956
45	0.2195392071
46	0.2182619488
47	0.2169432747
48	0.2153577273
49	0.2134032424
50	0.2131819287
51	0.211372171
52	0.210244303
53	0.20831521
54	0.206550426
55	0.2055490783
56	0.2044108138
57	0.2024640961
58	0.2003435049
59	0.1992943781
60	0.1977405413
61	0.1968589683
62	0.1962254232
63	0.1953499167
64	0.1932244843
65	0.1926222891
66	0.1911584074
67	0.1894735428
68	0.1885131408
69	0.1868986953
70	0.1856284869
71	0.1851453273
72	0.1833318821
73	0.1830444343
74	0.1827157071
75	0.1821598253
76	0.1818074059
77	0.1809649852
78	0.1796249671
79	0.1786072775
80	0.1768494438
81	0.1756188252
82	0.1747650108
83	0.1735977095
84	0.1723647834
85	0.1713619453
86	0.1695141213
87	0.1684343612
88	0.1678801712
89	0.1659969803
90	0.1652965958
91	0.1639379531
92	0.1624043218
93	0.1610560016
94	0.1593189463
95	0.1579019164
96	0.1573177885
97	0.155920012
98	0.1547828761
99	0.1534991643
100	0.1518395801
101	0.1497209971
102	0.1486079842
103	0.14827606
104	0.1472832266
105	0.1465631637
106	0.1460615817
107	0.1448491379
108	0.1447270776
109	0.1440932691
110	0.1428615598
111	0.1412062232
112	0.1398672427
113	0.1386396182
114	0.1378120911
115	0.1373878317
116	0.1364024163
117	0.135604736
118	0.1340920623
119	0.1326240319
120	0.1314737724
121	0.1304883379
122	0.1303666978
123	0.1289632265
124	0.1280072505
125	0.1271710347
126	0.1255148196
127	0.1245387022
128	0.1238556319
129	0.1230951233
130	0.122539584
131	0.1210543623
132	0.1204951428
133	0.1202461781
134	0.1191566547
135	0.1181769428
136	0.117314369
137	0.1160529593
138	0.1154382699
139	0.1148972944
140	0.1141216226
141	0.1134501456
142	0.1131038227
143	0.1123627798
144	0.1117206646
145	0.1106329774
146	0.1094830554
147	0.1087210243
148	0.1081743467
149	0.107632275
150	0.106725076
151	0.1066803742
152	0.1061432388
153	0.105607755
154	0.1050426042
155	0.1044331793
156	0.1032425045
157	0.1029464893
158	0.1024237339
159	0.1013201783
160	0.1001509582
161	0.09941456265
162	0.09919977063
163	0.09778565621
164	0.09681842063
165	0.09583181183
166	0.09555970162
167	0.09511552229
168	0.09385671601
169	0.09290720797
170	0.09231201163
171	0.0913667939
172	0.09082381632
173	0.09044066099
174	0.08982582025
175	0.08911532867
176	0.08865274343
177	0.08776771869
178	0.087283866
179	0.0864354718
180	0.08605361916
181	0.08583662367
182	0.08527222913
183	0.08494499557
184	0.08471200109
185	0.08445617119
186	0.08443579573
187	0.08399472367
188	0.08367648079
189	0.08327150816
190	0.08288522696
191	0.08252299853
192	0.08179924636
193	0.08128684166
194	0.0805311733
195	0.07986349145
196	0.07891506413
197	0.07802530197
198	0.0771137894
199	0.07647922326
200	0.07645554668
201	0.0760982136
202	0.07559786512
203	0.07524099055
204	0.07491087137
