iter	Logloss
0	0.6186184678
1	0.5570839342
2	0.5129463611
3	0.4722979484
4	0.44619054
5	0.422981773
6	0.4005870068
7	0.3858955418
8	0.3730824979
9	0.3593450278
10	0.3511345224
11	0.343260585
12	0.3336335891
13	0.326551084
14	0.3226498581
15	0.3164068052
16	0.3123917451
17	0.3070798251
18	0.3029250174
19	0.3001142403
20	0.2958377372
21	0.2944131531
22	0.2923499725
23	0.2905322258
24	0.2886693291
25	0.2872456577
26	0.2851135427
27	0.2836174874
28	0.2822889654
29	0.2809866365
30	0.2793353379
31	0.2778615504
32	0.276645714
