iter	Logloss
0	0.6194139414
1	0.5547660667
2	0.5149462442
3	0.471407793
4	0.4434328957
5	0.4213403834
6	0.3989014
7	0.3836248686
8	0.3693926284
9	0.3606063224
10	0.3505011035
11	0.3405501723
12	0.3327608222
13	0.326490987
14	0.3214255946
15	0.3159936618
16	0.3115074161
17	0.3072534164
18	0.303871454
19	0.3007467355
20	0.2981939165
21	0.2971402333
22	0.2950015022
23	0.2928871525
24	0.2900310923
25	0.288126825
26	0.2855071583
27	0.2834944306
28	0.2825602434
29	0.280833162
30	0.2789096414
31	0.2777960348
32	0.2758302876
33	0.2752795048
34	0.2739624882
35	0.2726454896
36	0.2710884685
37	0.2694710909
38	0.2684953572
39	0.2675373419
40	0.2662552122
41	0.2649109214
42	0.264065403
43	0.262785936
44	0.2614067748
45	0.2603715212
46	0.2593668153
47	0.2586922105
48	0.2579601835
49	0.2557971698
