iter	MultiClass
0	1.438877899
1	1.315007337
2	1.223751261
3	1.149912479
4	1.092869667
5	1.045263519
6	1.003390887
7	0.9699937083
8	0.9420778412
9	0.9172113681
10	0.8941878336
11	0.87165047
12	0.8540521207
13	0.8398412968
14	0.825962652
15	0.8133697508
16	0.8022533131
17	0.7932320322
18	0.7833915358
19	0.7722875345
20	0.7623640479
21	0.754451439
22	0.7475706384
23	0.7410379834
24	0.7370501913
25	0.7327014883
26	0.7269814395
27	0.7226371866
28	0.7190319083
29	0.7155600155
30	0.7106858238
31	0.7081657877
32	0.7043936849
33	0.6997923761
34	0.6980863407
35	0.6967437458
36	0.693965608
37	0.69093224
38	0.6886482303
39	0.6872419062
40	0.6855102884
41	0.6825720458
42	0.6811436983
43	0.6797977468
44	0.6788446281
45	0.6770346738
46	0.6737345796
47	0.6733848369
48	0.6722132984
49	0.6702811454
50	0.6687544616
51	0.6674327178
52	0.6658329853
53	0.6647849146
54	0.663394645
55	0.6616355813
56	0.6610466704
57	0.6593855506
58	0.6585913511
59	0.6580018467
60	0.657771369
61	0.657130021
62	0.6558401307
63	0.6553882537
64	0.6545242403
65	0.653663739
66	0.6534163715
67	0.6525523048
68	0.6519700655
69	0.651634446
70	0.6507124607
71	0.6504147575
72	0.6501474467
73	0.6499727648
74	0.6498313387
75	0.6495809789
76	0.6486946695
77	0.6478384334
78	0.6463423045
79	0.645452796
80	0.6452037492
81	0.6448519979
82	0.6441276817
83	0.6439365924
84	0.6437057761
85	0.6426954898
86	0.6419272916
87	0.6417245037
88	0.6415083838
89	0.6412866216
90	0.6409549898
91	0.6401956432
92	0.639885354
93	0.6396662915
94	0.6392985253
95	0.6387137528
96	0.6385397278
97	0.6373585303
98	0.6368652809
99	0.636601464
100	0.6363674518
101	0.6362107943
102	0.6358107502
103	0.6353442411
104	0.6349428105
105	0.6348005065
106	0.6343967243
107	0.6338994912
108	0.6334775634
109	0.6328632879
110	0.6327875156
111	0.6326162931
112	0.6319803206
113	0.6311785902
114	0.6310137868
115	0.6304357067
116	0.6297859411
117	0.6295357835
118	0.6292518446
119	0.6290972695
120	0.6290483511
121	0.6287452475
122	0.6284338951
123	0.6277589069
124	0.6275545167
125	0.6274316763
126	0.626498619
127	0.6260164626
128	0.6258111629
129	0.6256527999
130	0.6252888456
131	0.6247642132
132	0.6246090076
133	0.6238459859
134	0.6232482635
135	0.6229421737
136	0.6225446508
137	0.622206702
138	0.6220753821
139	0.621833128
140	0.6214661206
141	0.6211718065
142	0.6209314573
143	0.6206515529
144	0.6204107271
145	0.6200629297
146	0.6197723604
147	0.6194664553
148	0.6190706722
149	0.6189924267
150	0.6183920601
151	0.6182673079
152	0.6178916617
153	0.6178027208
154	0.6174709952
155	0.6171013634
156	0.6167702097
157	0.616608942
158	0.6162192121
159	0.6159984029
160	0.6156756594
161	0.6155826665
162	0.6150706006
163	0.6148888056
164	0.6148323274
165	0.6146313928
166	0.6143632586
167	0.6142198524
168	0.6140678798
169	0.6136939117
170	0.6133307548
171	0.6132905047
172	0.6128958877
173	0.6123724907
174	0.6121403706
175	0.611954705
176	0.6111716599
177	0.6111243595
178	0.6106527548
179	0.6102823472
180	0.6098571194
181	0.609726196
182	0.6095012463
183	0.6093703999
184	0.6092651721
185	0.6088165045
186	0.6083779006
187	0.6080380002
188	0.6079876378
189	0.6079466778
190	0.6079154903
191	0.6075641265
192	0.6074433016
193	0.6073834085
194	0.607325043
195	0.6070932756
196	0.6068702556
197	0.6067260432
198	0.6065065602
199	0.6062392325
200	0.6061081461
201	0.606063202
202	0.6060271376
203	0.605824364
204	0.6054827603
205	0.6052051678
206	0.6047014173
207	0.6043774141
208	0.6042957462
209	0.6041242037
210	0.6040269757
211	0.6039596597
212	0.6036854316
213	0.6036243281
214	0.6032586083
215	0.6030012084
216	0.6028212804
217	0.6027860359
218	0.6027481886
219	0.6026320501
220	0.6025803402
221	0.6025167612
222	0.6024941963
223	0.60247046
224	0.6023582441
225	0.6022661952
226	0.6020789281
227	0.6019814037
228	0.6017733596
